"<string>:{series}:zhTW","<string>:{series}:jaJP","<string>:{series}:enUS","<string>:{name}:zhTW","<string>:{name}:jaJP","<string>:{name}:enUS","<number>:rare","<string>:type","<string>:gender","<number>:minDefense","<number>:maxDefense","<number>:{resistance}:fire","<number>:{resistance}:water","<number>:{resistance}:thunder","<number>:{resistance}:ice","<number>:{resistance}:dragon","<number>:[slots]:{0}:size","<number>:[slots]:{1}:size","<number>:[slots]:{2}:size","<string>:[skills]:{0}:name","<number>:[skills]:{0}:level","<string>:[skills]:{1}:name","<number>:[skills]:{1}:level","<string>:[skills]:{2}:name","<number>:[skills]:{2}:level","<string>:[skills]:{3}:name","<number>:[skills]:{3}:level"
"希望","",""," 希望面具","","","1","helm","general","6","6","1","0","1","0","0","","","","昏厥耐性","1","","","","","",""
"希望","","","希望鎧甲","","","1","chest","general","6","6","1","0","1","0","0","","","","精靈加護","1","","","","","",""
"希望","","","希望腕甲","","","1","arm","general","6","6","1","0","1","0","0","","","","精靈加護","1","","","","","",""
"希望","","","希望腰甲","","","1","waist","general","6","6","1","0","1","0","0","","","","耐力急速回復","1","","","","","",""
"希望","","","希望護腿","","","1","leg","general","6","6","1","0","1","0","0","","","","精靈加護","1","","","","","",""
"闢獸","","","闢獸頭盔","","","1","helm","general","6","6","-3","2","-1","-1","4","","","","滿足感","1","","","","","",""
"闢獸","","","闢獸鎧甲","","","1","chest","general","6","6","-3","2","-1","-1","4","","","","滿足感","1","","","","","",""
"闢獸","","","闢獸腕甲","","","1","arm","general","6","6","-3","2","-1","-1","4","","","","回復速度","1","","","","","",""
"闢獸","","","闢獸腰甲","","","1","waist","general","6","6","-3","2","-1","-1","4","","","","回復速度","1","","","","","",""
"闢獸","","","闢獸護腿","","","1","leg","general","6","6","-3","2","-1","-1","4","","","","滿足感","1","","","","","",""
"纏蛙","","","纏蛙頭盔","","","1","helm","general","6","6","1","2","-3","-1","1","","","","快吃","1","","","","","",""
"纏蛙","","","纏蛙鎧甲","","","1","chest","general","6","6","1","2","-3","-1","1","","","","快吃","1","","","","","",""
"纏蛙","","","纏蛙腕甲","","","1","arm","general","6","6","1","2","-3","-1","1","","","","耐力急速回復","1","","","","","",""
"纏蛙","","","纏蛙腰甲","","","1","waist","general","6","6","1","2","-3","-1","1","","","","快吃","1","","","","","",""
"纏蛙","","","纏蛙護腿","","","1","leg","general","6","6","1","2","-3","-1","1","","","","回復速度","1","","","","","",""
"沙海龍","","","沙海龍頭盔","","","1","helm","general","6","6","-1","2","-3","1","1","","","","炸彈客","1","","","","","",""
"沙海龍","","","沙海龍鎧甲","","","1","chest","general","6","6","-1","2","-3","1","1","","","","耐力急速回復","1","","","","","",""
"沙海龍","","","沙海龍腕甲","","","1","arm","general","6","6","-1","2","-3","1","1","","","","炸彈客","1","","","","","",""
"沙海龍","","","沙海龍腰甲","","","1","waist","general","6","6","-1","2","-3","1","1","","","","炸彈客","1","","","","","",""
"沙海龍","","","沙海龍護腿","","","1","leg","general","6","6","-1","2","-3","1","1","","","","昏厥耐性","1","","","","","",""
